espaniol,zapoteco
de,Sti
y,Ne
qué,Xhi
la,Laa
el,Labee
a,Ra
en,Lu
los,Ca
se,Nanna'
no,Co'
las,Ca
por,pur
con,Ne
del,Sti
su,Stibe
un,Ti
lo,Laa
al,Ra
es,Nacani
cómo,Xhimodo
una,Ti
para,Ra
le,Laa
mas,Jma
si,Saa'
sus,Ca
mi,Stine'
me,Naa
yo,Naa
esta,Ndi'
pero,peru
porque,"Pur ti"
había,Biuu'
todo,Guidubi
era,Ucabe
tu,Lii
sin,Xie
cuando,Ora
pues,pue
ni,Nin
este,Ndi'
todos,Guiraa'
sobre,Lu
ya,Ma’
dijo,Gudxibe
asi,Sicarí'
ser,Ñaca'
dios,Diuxi
te,Lii
don,Ta
dos,Chuppa
entre,Lade
muy,Dunabé
quien,Tuu
tan,Casi
bien,Huazaaca
hasta,Dedepe'
ella,Laabe
fué,Gucabe
esto,Ndí'
nos,Nu
casa,Lidxi
son,Sa'
tambien,Laaca
hay,Nuu
donde,Raa
señor,Nguiu'
tierra,Gidxilayú
aquí,Rarí
hombre,"Badu nguiu'"
despues,óraque
aquel,ndica'
les,Laaca’
mismo,Gueca
entonces,óraque
ellos,Laaca’be
otro,Stobi
hijo,Shiñe'
tiempo,Dxi
día,Dxi
todas,Guiraa'
cual,Xhinga
rey,Shaíque
estaba,Uyua'
solo,Stubi
vida,"Guenda nabani"
otra,Stobi
gran,Ro'
toda,Irá'
aquella,Ngué
mis,Stinne'
luego,óraque
uno,Tobi
allí,cherica'
desde,de
os,lii
nada,Gasti’
estas,Nuulu'
ahora,Yanna
tenia,Gupabe
cosas,xiixa'
aun,Deyanna
parte,ndaa
puede,zanda
siempre,"Guidubi guendanabani"
tanto,Stale
hijos,"Ca shiñe'"
padre,Bishoze
usted,Lii
tiene,Napa
ojos,"Ca guie Lú'"
pueblo,Guidxi
tal,Tal
hacer,Ga'ca
decir,Gaabe
hombres,"Ca nguiiu"
vez,Viaje
han,Ma
aunque,Neca
antes,Dxiqué
cosa,"Xiixa  "
mucho,Stalee
mujer,Gunaa'
mano,Bataná’
sea,gacani
ver,Guuya
ciudad,Guidxi
será,"Ñe la'"
mundo,Gidxilayú
estos,"Ca ndi’"
cada,Idubi
días,"Ca dxhi"
poco,Huaxié’
dicho,gudxhicabe
menos,"Huaxié’  "
hecho,"Bizáʼcabe ni "
cuanto,Panda
nosotros,Laanu
noche,Huaxhinni
hacia,Ra
hizo,Bi'nibe
fin,"Ra iluxhe"
tres,Chonna
amor,Guendanadxí
tus,Stilu
mal,"guenda nadxaba'"
verdad,Dxandí'
habían,Guyuu'
dice,Hrabibe
nuestro,Stinu
medio,Aronda’
manera,Modo
alma,Guenda
veces,Viaje
corazon,Ladxido'
delante,"Zá nírú"
palabras,"Ca Diidxa'  "
otras,"ca stobi"
años,Iza
misma,"Sica caa"
nombre,Lá
eso,Nga
muerte,"Guenda guti"
eran,Gucacabe
oro,Oro
hace,Runibe
muchos,Stale
manos,"Ca naa'"
ti,Lii
soy,Naca'
dio,Gudibee
mejor,"Jmá Galán"
idea,"ni ca ique'"
algo,Xhixaa
cabeza,Ique
general,General
trabajo,Dxiña
fueron,Guyecabe
luz,Biani'
diciendo,caniʼbe
voz,Diidxa
mil,Guixhiapa
vosotros,Laatu
dar,gudíu'
camino,Neza
ese,Ca
cuerpo,Ladi
respondió,bicabibe
espiritu,Guenda
fuerza,Stipa
vino,beeda
muchas,Stale
unos,"Chupa chonna"
nuestra,Stinu
aquellos,"Ca ngue"
estaban,nucaca'
decía,Raabe
hoy,Enadxhi
tengo,Napa'
buen,Neeza
haber,Da’
palabra,Diidxa
cielo,Guiba'
pasó,Guuca
puerta,"rua yoo'"
nunca,"Qué ziuu dxi"
algunos,"Chupa chonna"
sol,Gubidxa
hija,Shiñe'
madre,Jñaa
poder,Stipa
parece,"Rihuinni casi"
vuestra,Stiilu'
estan,Nuutu
señora,Na
esa,Ca
visto,Viiya'tu
saber,Guendariene
mientras,Laga
grande,Naro'ba
estado,Guidxhi
dentro,Ndaani'
iba,zia'
nadie,Iruti’
razón,Xpiaani'
mar,Nisado'
agua,Nisa
nuestros,Stiinu
puesto,Nacu
buena,Neeza
ellas,Laaca’be
tener,Gapa'
algun,Tuusha'
vio,Biiya'
ir,Chee
cuatro,Tappa
lado,Ladu
joven,"Badu nguiiu"
sangre,Riinni
historia,Diidxa
va,Rie
dado,Bidié
pies,"Ca Jñee'"
debe,"	
napa xidé"
cuales,Shinga
bajo,Guete’
primera,"Zaa niruu'"
mujeres,"Ca Gunaa'"
llego,"Veda ndaa'"
presente,Yanna
cierto,Dxandí’
mañana,Guixí’
quiero,Hracaladxe'
tienen,Napacabe'
doña,Na
fuego,Gui
gente,Binni
ninguna,Abati’
pie,Batañee
amigo,Bichi
guerra,"Guenda ridinde"
mandó,"Bise'nda be"
junto,Cue’
muerto,Gue’tu’
ideas,"ni ca íque"
año,Iza
vista,lua'
hermano,Biche'
puso,Gudixhe
hablar,"Cué didxa"
da,Rusiga'de'
cerca,Gaxha
digo,Raabe'
uñas,"Bixuga na'"
ante,"lu sti"
estar,Nua
vi,Biiya'
casi,Bilá
ello,laani
partes,Xcua
algunas,Caadxi'
campo,"ra ñaa"
sabe,Naana
allá,Chericá’
tarde,Huadxí
nuevo,Nacubi
momento,"Ti ratu si"
forma,Forma
hora,Hora
tuvo,Gupabe'
mio,Stine'
principio,"Hra hruzuluni'"
tenían,gúpacabe
quiere,Gannaxhílu'
volvió,Biguetabe
cuenta,Bigaaba
objeto,xiixa'
estoy,Nua'
dioses,"Ca Diuxhi ca"
hubo,Uyuu'
calle,Bandaa
siendo,gacalu
pedro,Pedro
boca,Hruaa
amigos,"Ca Xhamigu'"
pronto,Guiuba
real,dxandi'
vuestro,Stilu'
llegar,venda'
hablo,Caniee'
unidos,Tobisi
tomó,Gucuaabe
mexicanos,"Binni México"
quería,Gucaladxe'
segundo,Guiropa
libro,Gui'chi
diez,Chii
eres,Lii
ve,Guyé
pueblos,"Ca guidxi"
salió,Biree
rostro,Lú
bueno,Galán
persona,Binni
gloria,Guiba'
san,Bido'
lejos,Zitu
parecía,"Ruluíʼ si"
dinero,Bidxichi
sabia,Nuuxpiaani'
fracción,"ti nda"
aire,Bi
personas,Binni
mía,Stinne'
volver,Bigueta'
quedó,biaana
adelante,niruu
cinco,Gaayu’
río,Guiigu’
sentido,Guendala'dxi'
pasar,Cadi'di
existencia,"Enda nabani"
armas,"Ca Guiiba"
conforme,"Casi Naa'"
alguno,Tuuxha
oído,Diaga
serán,"chi gaca"
cuarto,Guidapa
necesario,Naquiiñe'
dijeron,"guniʼcaʼ ."
mucha,Stalee
ay,Ay
